,HistSimilarity,Thresholding,Superpixels
w_56.jpg,0.6115477656774743,0.3296516567544605,0.3889051017430292
w_65.jpg,0.42192102090364064,0.5411083129999087,0.6272100401150138
w_61.jpg,0.88225193818617,0.3120856705762366,0.65625
w_66.jpg,0.8236123348017621,0.2895125841210565,0.6083512667956671
w_79.jpg,0.14658290500666285,0.6111837473599517,0.17071360407167852
w_82.jpg,0.4452445668161013,0.20133823011520854,0.3496247319513939
w_11.jpg,0.6335750139431121,0.16213255431805734,0.17717494966620748
w_62.jpg,0.9698492462311558,0.3830450094817911,0.4055884515654631
w_88.jpg,0.3953915084275656,0.019630345494080697,0.14102119994457532
w_23.jpg,0.46449704142011833,0.8238060643138454,0.4872248044754933
w_73.jpg,0.6038255709214221,0.8128221649484536,0.08728426899424717
w_63.jpg,0.27558335443944015,0.00970130201684963,0.11931744431020538
w_77.jpg,0.9124922376319603,0.3406113537117904,0.7097107438016529
w_42.jpg,0.21463963476642794,0.7136455841835962,0.28736131630022305
w_33.jpg,0.23041261010662958,0.442420858210558,0.10578606267120999
w_10.jpg,0.0,0.12362872204017666,0.20849613953924542
w_78.jpg,0.0,0.10944142545562087,0.051765590438971505
w_0.jpg,0.9170820340314779,0.460615796519411,0.43241583294273567
w_45.jpg,0.6305497129213803,0.49269771286855885,0.34842029780233685
w_6.jpg,0.7380340252650289,0.39462423395333834,0.14568787686448748
w_15.jpg,0.700679752539525,0.07692862813018692,0.6873511904761904
w_13.jpg,0.8466641329509726,0.4548632613516051,0.2886206896551724
w_96.jpg,0.6079410286480147,0.48255813953488375,0.1872286985721696
w_1.jpg,0.9496744145931261,0.21327575246070543,0.3471610660486674
w_98.jpg,0.45495960639008687,0.6037880972983367,0.5223759153783564
w_83.jpg,0.7704066034851728,0.4995397764628534,0.17389017462655165
w_54.jpg,0.8455958549222798,0.5951946472019465,0.38800792864222
w_50.jpg,0.46298472385428907,0.5085714285714286,0.3318409742120344
w_51.jpg,0.887367543755209,0.27704280155642025,0.7147648261758691
w_68.jpg,0.3385911921542305,0.2931902364896951,0.30192705533564645
w_43.jpg,0.8166530488152469,0.6880448318804483,0.18879264108385316
w_27.jpg,0.522408737213974,0.2693045917614056,0.32444611340593316
w_26.jpg,0.7266553480475382,0.3793768955059278,0.7003991912488984
w_17.jpg,0.6223328591749644,0.12677777777777777,0.04610710690853519
w_39.jpg,0.6293585384127716,0.566088840736728,0.4187523629489603
w_46.jpg,0.5834062591157227,0.779554540262707,0.4199475065616798
w_9.jpg,0.8535335563305103,0.30124065878255823,0.7424237837183252
w_2.jpg,0.5526698524828589,0.26773455377574373,0.3629112662013958
w_19.jpg,0.3941630663425325,0.4619883040935672,0.5986570247933884
w_93.jpg,0.8941074725165067,0.3829260208976573,0.24782766581070215
w_97.jpg,0.2973588468908823,0.26248009609743833,0.12753568883305047
w_95.jpg,0.4224389430691006,0.5169712793733682,0.2422948207171315
