,Contour,Thresholding,Superpixel,Similarity
w_0.png,0.643775100402,0.775368139224,0.512351628737,1.0
w_1.png,0.503518425149,0.623451783326,0.453953569941,0.932985509788
w_10.png,0.535568608256,0.904552129222,0.269211943221,0.0
w_11.png,0.590909090909,0.986013986014,0.248251748252,0.993006993007
w_12.png,0.671040372671,0.799844720497,0.704386645963,0.882181677019
w_13.png,0.602028397566,0.787910750507,0.301480730223,0.97354969574
w_14.png,0.444971404659,0.0,0.634328358209,0.0
w_15.png,0.177214885377,0.413196699622,1.0,0.993072093527
w_16.png,0.834677419355,0.971274326846,0.995967741935,0.995967741935
w_17.png,1.0,1.0,1.0,0.730061349693
w_18.png,0.672164383562,0.984,0.438739726027,0.963780821918
w_19.png,0.811044003451,0.837998913495,1.0,1.0
w_2.png,0.23536036036,0.632507507508,0.745693061483,0.959459459459
w_20.png,0.930487210179,0.970341800771,0.406525690473,0.987055016181
w_21.png,0.158422801636,0.759905419223,0.892361111111,0.882370483981
w_22.png,0.509413067553,1.0,0.377906976744,0.846464167062
w_23.png,1.0,0.996428571429,0.842857142857,1.0
w_24.png,0.986696329255,0.944827586207,1.0,0.964115684093
w_25.png,0.35827911774,0.766740717233,0.133529038401,0.898107743573
w_26.png,0.441025641026,0.509015715467,0.744968293355,0.706368899917
w_27.png,0.681818181818,0.886363636364,0.613636363636,0.901515151515
w_28.png,0.543689320388,0.818122977346,0.238268608414,0.675485436893
w_29.png,0.968871595331,0.947058129938,0.455394411036,0.996108949416
w_3.png,0.255200655201,1.0,0.670761670762,0.81898034398
w_30.png,0.995433789954,0.952662721893,1.0,1.0
w_31.png,0.713753799392,0.561816109422,0.524468085106,0.792629179331
w_32.png,0.505012531328,0.670760233918,0.242105263158,0.98462823726
w_33.png,0.312372697725,0.790769230769,0.707692307692,0.649230769231
w_34.png,0.758407055704,0.864864864865,0.261125990856,0.960960960961
w_35.png,0.958333333333,0.965034965035,0.699300699301,0.996503496503
w_36.png,0.971193415638,0.918470805749,0.508155901473,1.0
w_37.png,0.407781334647,0.927768201592,0.984732824427,0.996183206107
w_38.png,0.0,0.0,1.0,0.0
w_39.png,0.978873239437,0.876579992777,1.0,0.985915492958
w_4.png,0.200814111262,1.0,0.574626865672,0.522048846676
w_40.png,0.807002883049,0.883340993607,0.697948439393,0.992395437262
w_41.png,0.487593220339,0.936,1.0,0.976
w_42.png,1.0,0.975806451613,1.0,1.0
w_43.png,0.770547945205,0.808549968867,1.0,0.799891033624
w_44.png,0.76233322991,0.95742769894,0.175318843183,0.960007838398
w_45.png,0.820057960833,0.948186528497,0.704663212435,0.958549222798
w_46.png,0.0765,0.995,1.0,1.0
w_47.png,0.938826466916,1.0,0.803370786517,0.97191011236
w_48.png,0.866883116883,1.0,0.649350649351,0.993506493506
w_49.png,1.0,1.0,0.734637641223,0.966500019683
w_5.png,0.7182,0.98505,0.6908,0.767175
w_50.png,0.792936507937,0.952380952381,0.947619047619,0.858095238095
w_51.png,0.757887715397,0.969538632574,0.971428571429,0.994285714286
w_52.png,0.253157290471,0.983516483516,1.0,1.0
w_53.png,0.394485903814,1.0,1.0,1.0
w_54.png,1.0,0.888888888889,0.496350364964,0.796228710462
w_55.png,0.623135015657,1.0,1.0,1.0
w_56.png,0.609090909091,0.758878504673,0.535542339281,0.886363636364
w_57.png,0.451813214108,0.571428571429,0.692889078135,0.762295081967
w_58.png,1.0,0.952236677954,1.0,1.0
w_59.png,0.857469512195,0.768336655722,0.525328330206,0.975287288931
w_6.png,0.652316955166,0.757079883883,0.25829480701,0.997183098592
w_60.png,0.68253968254,0.903669724771,0.908256880734,1.0
w_61.png,0.769023740722,0.805031446541,0.81896991331,0.907501841464
w_62.png,0.591934672394,0.509926854754,0.693293084098,0.92718371454
w_63.png,0.0453233364574,0.970909090909,0.483823805061,0.938181818182
w_64.png,0.691968430826,0.770170551728,0.533597224258,0.994428969359
w_65.png,0.641579352549,0.910293714688,0.255587886063,0.986208066389
w_66.png,0.624693663205,0.594993581515,0.469833119384,0.980861244019
w_67.png,0.888888888889,0.821256038647,0.707928388747,0.980676328502
w_68.png,0.652519893899,1.0,0.198773209549,0.599469496021
w_69.png,0.776119402985,0.746960847934,0.592039800995,0.767034393251
w_7.png,1.0,0.980295566502,1.0,1.0
w_70.png,0.984615384615,0.974358974359,1.0,0.865801668211
w_71.png,0.396960664959,0.831325301205,0.0888291843332,0.995983935743
w_72.png,0.932192231731,0.948485845951,0.543825825261,0.975806451613
w_73.png,0.955555555556,0.901262626263,0.951851851852,0.944444444444
w_74.png,0.803827751196,0.706966973976,0.601528766484,0.727856225931
w_75.png,0.739998715726,0.832402234637,0.849162011173,0.900147691517
w_76.png,0.515203182722,0.515852717899,0.63768115942,0.909491332765
w_77.png,0.46366380937,0.707046201952,0.930131004367,0.865060111057
w_78.png,0.509964533018,1.0,1.0,0.439115014356
w_79.png,1.0,1.0,1.0,1.0
w_8.png,0.990353697749,0.990909090909,0.876936568255,1.0
w_80.png,0.332398316971,0.447806050892,1.0,0.687294272548
w_81.png,1.0,1.0,1.0,0.907834101382
w_82.png,0.272251585624,0.731078224101,0.827272727273,0.686548625793
w_83.png,0.783694937541,0.675936883629,0.68067061144,0.971334648258
w_84.png,0.447878470403,0.459545692652,0.843373493976,0.686366017429
w_85.png,0.487573964497,0.92673992674,0.633981403212,0.732149901381
w_86.png,0.399465240642,0.836199095023,1.0,0.79020979021
w_87.png,0.517761252446,0.950136986301,0.480939334638,0.997260273973
w_88.png,0.118353838406,0.986725663717,0.166306928556,0.966976041442
w_89.png,0.729344729345,0.988603988604,0.982905982906,0.851851851852
w_9.png,0.5,0.941558441558,0.88961038961,0.727272727273
w_90.png,0.47291152397,0.475613875536,0.403274002858,0.539119137326
w_91.png,0.925373134328,1.0,0.89552238806,1.0
w_92.png,0.816604436635,0.700887954567,0.605911330049,0.91914279439
w_93.png,0.918066530605,0.852425558637,1.0,0.900308755037
w_94.png,0.675778354337,1.0,1.0,1.0
w_95.png,0.960799789529,0.73664825046,0.839779005525,1.0
w_96.png,0.538515664265,0.643441112414,1.0,0.582610152454
w_97.png,0.386438920414,1.0,1.0,0.253017253795
w_98.png,0.869158878505,0.925678682688,1.0,0.920560747664
